,trim_id,model_id,invoice,price
801,1365,186,62224,66550
802,1361,186,58676,62755
803,1360,186,58391,62450
804,1373,186,65361,69905
805,1363,186,49994,53470
806,1357,186,34557,36185
807,1383,186,43562,45615
808,1384,186,37331,39090
809,1387,186,33702,35290
810,1389,186,34270,35885
811,1397,186,35034,36685
812,1398,186,40019,41905
813,1375,186,40874,42800
814,1356,186,29480,30870
815,1359,186,29767,31170
816,1382,186,38501,40315
817,1370,186,37168,38920
818,1391,186,39555,42305
819,1399,186,39041,41755
820,1358,186,36011,38515
821,1395,186,42594,45555
822,1394,186,40350,43155
823,1368,186,47498,50800
824,1390,186,36287,38810
825,1371,186,42547,45505
826,1388,186,39840,42610
827,1372,186,44857,47975
828,1386,186,45231,48375
829,1377,186,41247,44115
830,1402,187,67474,67474
831,1400,187,90874,90874
832,1403,187,39974,39974
833,1401,187,52974,52974
834,1422,188,64643,68045
835,1434,188,64453,67845
836,1413,188,50402,53055
837,1420,188,55647,58575
838,1423,188,52426,55185
839,1418,188,50212,52855
840,1417,188,53243,56045
841,1425,188,52616,55385
842,1428,188,55457,58375
843,1410,188,53433,56245
844,1429,188,85386,89880
845,1424,188,85576,90080
846,1421,188,67792,71360
847,1435,188,67602,71160
848,1405,188,40124,42235
849,1430,188,40884,43035
850,1431,188,43544,45835
851,1432,188,41074,43235
852,1433,188,43743,46045
853,1419,188,39881,41980
854,1416,188,42341,44570
855,1415,188,39691,41780
856,1414,188,42541,44780
857,1404,188,37473,39445
858,1426,188,46436,48880
859,1427,188,49286,51880
860,1412,188,44759,47115
861,1411,188,47424,49920
862,1409,188,47614,50120
863,1408,188,44949,47315
864,1407,188,42246,44470
865,1406,188,44906,47270
866,1436,188,49092,51675
867,1437,188,46626,49080
868,1489,189,66975,70500
869,1451,189,65896,69365
870,1448,189,66082,69560
871,1467,189,51851,54580
872,1457,189,54691,57570
873,1458,189,51661,54380
874,1460,189,54064,56910
875,1450,189,57095,60100
876,1466,189,54881,57770
877,1447,189,56905,59900
878,1468,189,55471,58390
879,1443,189,53874,56710
880,1470,189,58511,61590
881,1481,189,53261,56065
882,1474,189,56292,59255
883,1439,189,86502,91055
884,1482,189,88411,93065
885,1438,189,86692,91255
886,1480,189,71164,74910
887,1444,189,69046,72680
888,1445,189,69236,72880
889,1486,189,40328,42450
890,1479,189,41572,43760
891,1476,189,38912,40960
892,1475,189,42741,44990
893,1440,189,44996,47365
894,1472,189,42988,45250
895,1471,189,45391,47780
896,1449,189,45182,47560
897,1484,189,43933,46245
898,1463,189,42332,44560
899,1462,189,42522,44760
900,1485,189,46593,49045
901,1452,189,41130,43295
902,1459,189,41325,43500
903,1453,189,43980,46295
904,1454,189,43795,46100
905,1488,189,47267,49755
906,1483,189,49852,52475
907,1490,189,48868,51440
908,1487,189,51533,54245
909,1478,189,46360,48800
910,1477,189,43695,45995
911,1473,189,44607,46955
912,1469,189,47196,49680
913,1465,189,46394,48835
914,1464,189,48864,51435
915,1461,189,47880,50400
916,1456,189,46204,48635
917,1455,189,49063,51645
918,1446,189,50540,53200
919,1442,189,48070,50600
920,1441,189,50730,53400
921,1501,190,80356,84585
922,1498,190,71892,75675
923,1503,190,69264,72910
924,1495,190,91974,96815
925,1502,190,84032,88455
926,1491,190,52844,55625
927,1492,190,55989,58935
928,1496,190,59665,62805
929,1499,190,57038,60040
930,1493,190,61716,64965
931,1494,190,58563,61645
932,1497,190,64890,68305
933,1500,190,62686,65985
934,1506,191,26323,26860
935,1504,191,20575,20995
936,1505,191,22893,23360
937,1507,192,26371,27470
938,1514,192,31651,32970
939,1510,192,36095,37995
940,1511,192,30870,32495
941,1513,192,36143,38045
942,1508,192,46136,48565
943,1512,192,40911,43065
944,1509,192,52506,55270
945,1519,193,55475,55475
946,1520,193,52775,52775
947,1521,193,61995,61995
948,1516,193,49100,49100
949,1518,193,51800,51800
950,1515,193,43895,43895
951,1517,193,46595,46595
952,1525,194,38141,39730
953,1531,194,32707,34070
954,1532,194,34589,36030
955,1533,194,36259,37770
956,1522,194,25201,25980
957,1524,194,28940,29835
958,1526,194,31059,32020
959,1527,194,27320,28165
960,1523,194,34263,35690
961,1528,194,32381,33730
962,1529,194,28829,30030
963,1530,194,30711,31990
964,1534,195,73747,76820
965,1538,196,39183,41245
966,1558,196,42431,44665
967,1557,196,37971,39970
968,1555,196,43643,45940
969,1565,196,39966,42070
970,1564,196,44426,46765
971,1553,196,38755,40795
972,1552,196,43216,45490
973,1568,196,42911,45170
974,1567,196,47371,49865
975,1562,196,48531,51085
976,1550,196,44071,46390
977,1536,196,43334,45615
978,1572,196,44546,46890
979,1535,196,40085,42195
980,1537,196,38874,40920
981,1570,196,39658,41745
982,1546,196,44118,46440
983,1566,196,45329,47715
984,1544,196,40869,43020
985,1561,196,45824,48235
986,1571,196,46156,48585
987,1540,196,50654,53320
988,1560,196,53609,56430
989,1559,196,48303,50845
990,1551,196,52616,55385
991,1543,196,48559,51115
992,1563,196,45258,47640
993,1541,196,44099,46420
994,1545,196,49719,52335
995,1556,196,41273,43445
996,1539,196,44521,46865
997,1554,196,40061,42170
998,1569,196,45733,48140
999,1549,196,45306,47690
1000,1542,196,40841,42990
1001,1547,196,46516,48965
1002,1548,196,42056,44270
1003,1573,197,28190,29365
1004,1574,197,28190,29365
1005,1575,197,29150,30365
1006,1576,197,29150,30365
1007,1577,197,30279,31540
1008,1578,197,30279,31540
1009,1579,197,31239,32540
1010,1580,197,31239,32540
1011,1585,198,34617,36060
1012,1581,198,30585,31860
1013,1582,198,30585,31860
1014,1583,198,32617,33975
1015,1584,198,32617,33975
1016,1588,199,41425,43605
1017,1616,199,44679,47030
1018,1605,199,45885,48300
1019,1595,199,40219,42335
1020,1617,199,42214,44435
1021,1590,199,46674,49130
1022,1591,199,40997,43155
1023,1598,199,45462,47855
1024,1586,199,45154,47530
1025,1600,199,49614,52225
